Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	0.00238934
0.00064	0.002324486
0.00128	0.002294028
0.00192	0.002207566
0.00256	0.002148803
0.0032	0.002099745
0.00384	0.002023808
0.00448	0.001977718
0.00512	0.001889477
0.00576	0.001840797
0.0064	0.001803
0.00704	0.001691948
0.00768	0.001664399
0.00832	0.001582393
0.00896	0.001508515
0.0096	0.001491478
0.01024	0.001450376
0.01088	0.001358205
0.01152	0.001282649
0.01216	0.001193
0.0128	0.001134185
0.01344	0.001063284
0.01408	0.0009977146
0.01472	0.0009115498
0.01536	0.00087038
0.016	0.0007918833
0.01664	0.0006918919
0.01728	0.00062873
0.01792	0.0005743691
0.01856	0.0004572224
0.0192	0.0003692133
0.01984	0.0002843511
0.02048	0.0002083752
0.02112	8.212171e-5
0.02176	-2.586438e-5
0.0224	-8.315148e-5
0.02304	-0.0001836557
0.02368	-0.0002572027
0.02432	-0.0003693804
0.02496	-0.0004430232
0.0256	-0.0005499663
0.02624	-0.0006597852
0.02688	-0.0007511434
0.02752	-0.0008565261
0.02816	-0.0009319692
0.0288	-0.001086193
0.02944	-0.001121658
0.03008	-0.001257696
0.03072	-0.001307735
0.03136	-0.001400986
0.032	-0.00145767
0.03264	-0.001515315
0.03328	-0.001611463
0.03392	-0.001679041
0.03456	-0.001828308
0.0352	-0.001946673
0.03584	-0.001977884
0.03648	-0.002081696
0.03712	-0.00200847
0.03776	-0.002123558
0.0384	-0.002265388
0.03904	-0.002433462
0.03968	-0.002472027
0.04032	-0.002556436
0.04096	-0.002661269
0.0416	-0.002743731
0.04224	-0.002803303
0.04288	-0.002864332
0.04352	-0.002931516
0.04416	-0.003036015
0.0448	-0.003088704
0.04544	-0.003179814
0.04608	-0.003230508
0.04672	-0.00327848
0.04736	-0.003403193
0.048	-0.003424145
0.04864	-0.003491182
0.04928	-0.003578986
0.04992	-0.003571711
0.05056	-0.003663424
0.0512	-0.003690821
0.05184	-0.002253975
0.05248	-0.002812963
0.05312	-0.002582396
0.05376	-0.001886153
0.0544	0.0001643854
0.05504	-4.431939e-5
0.05568	-0.001716279
0.05632	-0.0009339266
0.05696	-0.0005829498
0.0576	0.0001129407
0.05824	-0.001505501
0.05888	-0.0006389379
0.05952	-0.0009790274
0.06016	-0.0013616
0.0608	0.0001636922
0.06144	-0.0007913513
0.06208	-0.0006627579
0.06272	0.0005281531
0.06336	-0.002061024
0.064	-0.0004674306
0.06464	0.0003615353
0.06528	0.0001744279
0.06592	-0.0007317011
0.06656	-0.0004699741
0.0672	-0.001122932
0.06784	-6.830729e-5
0.06848	-0.0001240439
0.06912	-0.001191493
0.06976	-0.0009219026
0.0704	-0.001142325
0.07104	0.0001886996
0.07168	0.0001293859
0.07232	0.0001664034
0.07296	-0.0005934965
0.0736	0.0002602189
0.07424	-0.0009831216
0.07488	3.993347e-5
0.07552	0.000650441
0.07616	0.0002481051
0.0768	-0.0009501495
0.07744	1.110975e-5
0.07808	9.361072e-6
0.07872	-0.0006814279
0.07936	-0.001231336
0.08	0.001221144
0.08064	-0.00115742
0.08128	-0.0007127192
0.08192	0.0005099855
0.08256	-5.997736e-5
0.0832	-3.347948e-5
0.08384	-0.0005959845
0.08448	0.0008392546
0.08512	-6.54234e-5
0.08576	8.538932e-6
0.0864	-0.0002719636
0.08704	-0.001431422
0.08768	-0.000126244
0.08832	-0.0005545613
0.08896	-0.0005950551
0.0896	-0.00040173
0.09024	-0.0008046345
0.09088	-0.0009057841
0.09152	0.0002215304
0.09216	-0.0002773929
0.0928	-0.00119865
0.09344	-0.001700792
0.09408	-0.002132813
0.09472	-0.0009476002
0.09536	-0.001667237
0.096	-0.001286083
0.09664	-0.00218646
0.09728	-0.001992965
0.09792	-0.002310528
0.09856	-0.002045133
0.0992	-0.001990322
0.09984	-0.002680444
0.10048	-0.003073535
0.10112	-0.003750059
0.10176	-0.003759821
0.1024	-0.003876298
0.10304	-0.003826516
0.10368	-0.003706203
0.10432	-0.003837149
0.10496	-0.003789374
0.1056	-0.00381238
0.10624	-0.003840582
0.10688	-0.003820345
0.10752	-0.003844607
0.10816	-0.003780594
0.1088	-0.003751945
0.10944	-0.00371666
0.11008	-0.00367129
0.11072	-0.003648988
0.11136	-0.003633169
0.112	-0.003606264
0.11264	-0.003570419
0.11328	-0.003554073
0.11392	-0.003538958
0.11456	-0.003507453
0.1152	-0.003466992
0.11584	-0.002621156
0.11648	-0.002820172
0.11712	-0.002496935
0.11776	-0.001067887
0.1184	-0.002541536
0.11904	-0.003121757
0.11968	-0.003105348
0.12032	-0.003413546
0.12096	-0.003264789
0.1216	-0.003382493
0.12224	-0.003357746
0.12288	-0.003367834
0.12352	-0.003380322
0.12416	-0.003425326
0.1248	-0.003354349
0.12544	-0.003433198
0.12608	-0.003406425
0.12672	-0.003446669
0.12736	-0.0034619
0.128	-0.003476529
0.12864	-0.003494307
0.12928	-0.003505049
0.12992	-0.003514392
0.13056	-0.003488221
0.1312	-0.003494838
0.13184	-0.003491094
0.13248	-0.003475266
0.13312	-0.00347469
0.13376	-0.003427164
0.1344	-0.003412493
0.13504	-0.003372801
0.13568	-0.00334614
0.13632	-0.003369938
0.13696	-0.003352528
0.1376	-0.00332485
0.13824	-0.003281625
0.13888	-0.003233879
0.13952	-0.003197755
0.14016	-0.003159956
0.1408	-0.003119466
0.14144	-0.003053873
0.14208	-0.003011528
0.14272	-0.002961928
0.14336	-0.00294381
0.144	-0.002887649
0.14464	-0.002839193
0.14528	-0.002765234
0.14592	-0.002732474
0.14656	-0.002600597
0.1472	-0.002590801
0.14784	-0.002525291
0.14848	-0.002436415
0.14912	-0.002592987
0.14976	-0.002408225
0.1504	-0.002364527
0.15104	-0.002256044
0.15168	-0.002247771
0.15232	-0.002167596
0.15296	-0.002127094
0.1536	-0.002083006
0.15424	-0.002005395
0.15488	-0.001958638
0.15552	-0.001886065
0.15616	-0.001876971
0.1568	-0.001738205
0.15744	-0.001787417
0.15808	-0.001663678
0.15872	-0.001697969
0.15936	-0.001030827
0.16	-0.001336993
0.16064	-0.001618045
0.16128	-0.001409879
0.16192	-0.001450366
0.16256	-0.001366472
0.1632	-0.001373377
0.16384	-0.00131254
0.16448	-0.001306284
0.16512	-0.00126769
0.16576	-0.001258313
0.1664	-0.001230365
0.16704	-0.001218087
0.16768	-0.001210732
0.16832	-0.001208558
0.16896	-0.001164273
0.1696	-0.001174854
0.17024	-0.001160742
0.17088	-0.001149955
0.17152	-0.001156616
0.17216	-0.001127142
0.1728	-0.001155109
0.17344	-0.001148926
0.17408	-0.001157962
0.17472	-0.001147928
0.17536	-0.001123227
0.176	-0.00110857
0.17664	-0.001184992
0.17728	-0.001149357
0.17792	-0.001062172
0.17856	-0.001089216
0.1792	-0.001059146
0.17984	-0.001053531
0.18048	-0.001022271
0.18112	-0.001000734
0.18176	-0.0009840396
0.1824	-0.0009549638
0.18304	-0.0009289721
0.18368	-0.0008863162
0.18432	-0.0008527428
0.18496	-0.0007994308
0.1856	-0.0007651694
0.18624	-0.0007240776
0.18688	-0.0006755932
