Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	-0.0002367064
0.0001	-0.0002038327
0.0002	-0.0002533093
0.0003	-0.0002341729
0.0004	-0.0002416684
0.0005	-0.0002942997
0.0006	-0.0002511509
0.0007	-0.0002627076
0.0008	-0.0002575479
0.0009	-0.000250094
0.001	-0.0002960264
0.0011	-0.0002943295
0.0012	-0.0002897143
0.0013	-0.0002828754
0.0014	-0.0002253288
0.0015	-0.0002914747
0.0016	-0.0003502239
0.0017	-0.0002747836
0.0018	-0.0002818243
0.0019	-0.0002969536
0.002	-0.0003445586
0.0021	-0.000293857
0.0022	-0.0003071093
0.0023	-0.0003359932
0.0024	-0.0002995865
0.0025	-0.0003154893
0.0026	-0.0003217309
0.0027	-0.00034575
0.0028	-0.0003236928
0.0029	-0.0003143371
0.003	-0.0003034786
0.0031	-0.0003297804
0.0032	-0.000362045
0.0033	-0.0003414107
0.0034	-0.0003545147
0.0035	-0.0003068898
0.0036	-0.0003568331
0.0037	-0.0003736336
0.0038	-0.0003399912
0.0039	-0.000376312
0.004	-0.0003651241
0.0041	-0.0003794004
0.0042	-0.0003442056
0.0043	-0.0003494134
0.0044	-0.0003578101
0.0045	-0.0003758005
0.0046	-0.0003776515
0.0047	-0.0004125501
0.0048	-0.0003785889
0.0049	-0.0003611678
0.005	-0.0003816857
0.0051	-0.0004112929
0.0052	-0.0004242396
0.0053	-0.0004162838
0.0054	-0.0004095442
0.0055	-0.0004005845
0.0056	-0.0004085567
0.0057	-0.0003769754
0.0058	-0.0003825407
0.0059	-0.0004105224
0.006	-0.0004273021
0.0061	-0.0004375562
0.0062	-0.0004540669
0.0063	-0.0004029015
0.0064	-0.0003933977
0.0065	-0.0003806942
0.0066	-0.0004278697
0.0067	-0.0004223783
0.0068	-0.0004007055
0.0069	-0.0004322907
0.007	-0.0004198707
0.0071	-0.0004467463
0.0072	-0.000379883
0.0073	-0.0003814561
0.0074	-0.0004030328
0.0075	-0.0004494405
0.0076	-0.0004114326
0.0077	-0.0004345835
0.0078	-0.0004244182
0.0079	-0.0004497996
0.008	-0.0004140847
0.0081	-0.0004291497
0.0082	-0.0004604683
0.0083	-0.0004435445
0.0084	-0.0004403003
0.0085	-0.0004130051
0.0086	-0.0004607799
0.0087	-0.000462075
0.0088	-0.0004473616
0.0089	-0.0004827846
0.009	-0.0004518023
0.0091	-0.0004468128
0.0092	-0.000453382
0.0093	-0.0004324151
0.0094	-0.0004537413
0.0095	-0.0004383103
0.0096	-0.0004494511
0.0097	-0.0004391935
0.0098	-0.000459807
0.0099	-0.0004631421
0.01	-0.0004457686
0.0101	-0.0004225311
0.0102	-0.0004378705
0.0103	-0.0004823467
0.0104	-0.0004671792
0.0105	-0.0004530776
0.0106	-0.0004810252
0.0107	-0.0004510753
0.0108	-0.000451285
0.0109	-0.0004748866
0.011	-0.0004483319
0.0111	-0.0004678047
0.0112	-0.0004533351
0.0113	-0.000448694
0.0114	-0.0004813331
0.0115	-0.0004408697
0.0116	-0.0004400469
0.0117	-0.0004574894
0.0118	-0.0004663618
0.0119	-0.0004715321
0.012	-0.0004579624
0.0121	-0.0004383768
0.0122	-0.0004279881
0.0123	-0.0004525741
0.0124	-0.0004657511
0.0125	-0.0004519691
0.0126	-0.0004593071
0.0127	-0.0004226651
0.0128	-0.0004651136
0.0129	-0.0004634006
0.013	-0.000457231
0.0131	-0.0004394371
0.0132	-0.0004641287
0.0133	-0.0004433169
0.0134	-0.0004097002
0.0135	-0.0004449039
0.0136	-0.0004279335
0.0137	-0.000424815
0.0138	-0.0004435395
0.0139	-0.00046211
0.014	-0.0004443183
0.0141	-0.0004193457
0.0142	-0.0004192205
0.0143	-0.000451979
0.0144	-0.0004192246
0.0145	-0.0004141204
0.0146	-0.0004557393
0.0147	-0.0004423278
0.0148	-0.0003938479
0.0149	-0.0004302981
0.015	-0.0004271927
0.0151	-0.0003880913
0.0152	-0.0004142582
0.0153	-0.0004006344
0.0154	-0.0004152312
0.0155	-0.0004178136
0.0156	-0.0004211548
0.0157	-0.0003852481
0.0158	-0.000383146
0.0159	-0.0004086952
0.016	-0.0003782286
0.0161	-0.0004232044
0.0162	-0.0004083521
0.0163	-0.0004071075
0.0164	-0.0004178583
0.0165	-0.0003623464
0.0166	-0.000368746
0.0167	-0.0003837608
0.0168	-0.0004129957
0.0169	-0.0003936585
0.017	-0.0003994222
0.0171	-0.0003806091
0.0172	-0.0003508053
0.0173	-0.0003738923
0.0174	-0.0003603504
0.0175	-0.000361232
0.0176	-0.0003735499
0.0177	-0.0003573767
0.0178	-0.0003419292
0.0179	-0.0003621242
0.018	-0.0003355777
0.0181	-0.0003499829
0.0182	-0.0003414661
0.0183	-0.000357357
0.0184	-0.0003367703
0.0185	-0.0003326319
0.0186	-0.0003266569
0.0187	-0.0003256841
0.0188	-0.0003634742
0.0189	-0.0003453369
0.019	-0.0003424484
0.0191	-0.0003459956
0.0192	-0.0002854817
0.0193	-0.0003098229
0.0194	-0.0003189456
0.0195	-0.0003028909
0.0196	-0.0002985587
0.0197	-0.0003244487
0.0198	-0.0003106015
0.0199	-0.0003216949
0.02	-0.0002833353
0.0201	-0.0002489622
0.0202	-0.0002785236
0.0203	-0.0002776902
0.0204	-0.0002573369
0.0205	-0.0002692161
0.0206	-0.0002757702
0.0207	-0.0002510234
0.0208	-0.0002693693
0.0209	-0.0002601784
0.021	-0.0002843807
0.0211	-0.0002389912
0.0212	-0.0002664105
0.0213	-0.0002615172
0.0214	-0.0002296733
0.0215	-0.0002405225
0.0216	-0.000240464
0.0217	-0.0002559129
0.0218	-0.0002126586
0.0219	-0.0002339165
0.022	-0.0002237528
0.0221	-0.0002642396
0.0222	-0.0002734648
0.0223	-0.0002323531
0.0224	-0.0002591396
0.0225	-0.0002218443
0.0226	-0.0002009794
0.0227	-0.0002050529
0.0228	-0.0002231863
0.0229	-0.0001961354
0.023	-0.0002389764
0.0231	-0.0002206586
0.0232	-0.0002020449
0.0233	-0.0001927717
0.0234	-0.0002282048
0.0235	-0.00018993
0.0236	-0.0001937269
0.0237	-0.0001974867
0.0238	-0.0001954627
0.0239	-0.0002147932
0.024	-0.000193751
0.0241	-0.0001877991
0.0242	-0.0001988507
0.0243	-0.0001821009
0.0244	-0.0001620281
0.0245	-0.0002062088
0.0246	-0.000162348
0.0247	-0.0001864755
0.0248	-0.0001968764
0.0249	-0.0001427835
0.025	-0.0001583636
0.0251	-0.0001510294
0.0252	-0.0001950424
0.0253	-0.0001532481
0.0254	-0.0002350249
0.0255	-0.0001683159
0.0256	-0.0001057861
0.0257	-0.0001788287
0.0258	-0.0002028857
0.0259	-0.0001525254
0.026	-0.0001741118
0.0261	-0.0001253148
0.0262	-0.0001735838
0.0263	-0.0001499069
0.0264	-0.0001142268
0.0265	-0.0001702994
0.0266	-0.0001498283
0.0267	-0.0001394114
0.0268	-0.0001297326
0.0269	-0.0001834866
0.027	-0.0001383914
0.0271	-0.0001414095
0.0272	-0.0001639576
0.0273	-0.0001369202
0.0274	-0.0001485703
0.0275	-9.612363e-5
