Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	-0.001031629
0.0004	-0.0009977339
0.0008	-0.001010744
0.0012	-0.001010143
0.0016	-0.0009948295
0.002	-0.0009879216
0.0024	-0.001002342
0.0028	-0.0009768538
0.0032	-0.0009867491
0.0036	-0.0009969608
0.004	-0.0009761889
0.0044	-0.0009658135
0.0048	-0.0009582702
0.0052	-0.0009557248
0.0056	-0.0009750616
0.006	-0.0009331707
0.0064	-0.0009280597
0.0068	-0.0009148806
0.0072	-0.0009103049
0.0076	-0.000902097
0.008	-0.000878467
0.0084	-0.0008608102
0.0088	-0.0008562155
0.0092	-0.000831856
0.0096	-0.0008156719
0.01	-0.0007984575
0.0104	-0.0007720321
0.0108	-0.0007316762
0.0112	-0.0007437817
0.0116	-0.0007133394
0.012	-0.0006958767
0.0124	-0.0006917737
0.0128	-0.0006492716
0.0132	-0.0006374734
0.0136	-0.0006067611
0.014	-0.0006023471
0.0144	-0.000582879
0.0148	-0.0005451939
0.0152	-0.0005376749
0.0156	-0.0005164088
0.016	-0.0005126472
0.0164	-0.0005243238
0.0168	-0.0004626711
0.0172	-0.0004693603
0.0176	-0.0004549839
0.018	-0.0004373751
0.0184	-0.0004488227
0.0188	-0.0004208934
0.0192	-0.0004323598
0.0196	-0.0003972019
0.02	-0.0004029463
0.0204	-0.0003912832
0.0208	-0.0004004817
0.0212	-0.0004037704
0.0216	-0.000413658
0.022	-0.0004006223
0.0224	-0.0003889802
0.0228	-0.0004157036
0.0232	-0.0004050187
0.0236	-0.0004283455
0.024	-0.0004329579
0.0244	-0.0004370486
0.0248	-0.0004652089
0.0252	-0.0004342669
0.0256	-0.0004749708
0.026	-0.0004656302
0.0264	-0.0004868901
0.0268	-0.0004593124
0.0272	-0.0004640259
0.0276	-0.0004397696
0.028	-0.000463705
0.0284	-0.000475494
0.0288	-0.0004841101
0.0292	-0.0004215112
0.0296	-0.0004190156
0.03	-0.0004255872
0.0304	-0.0004172662
0.0308	-0.0003782647
0.0312	-0.0003806724
0.0316	-0.0003224499
0.032	-0.0003063019
0.0324	-0.0003055909
0.0328	-0.0002445398
0.0332	-0.0002333372
0.0336	-0.0002084281
0.034	-0.0001326023
0.0344	-7.546768e-5
0.0348	-2.712194e-5
0.0352	3.024226e-5
0.0356	7.45955e-5
0.036	0.0001086989
0.0364	0.0001896386
0.0368	0.0001536554
0.0372	0.0003206952
0.0376	0.0002823056
0.038	0.0004684802
0.0384	0.0003081076
0.0388	0.0004033195
0.0392	0.0006036668
0.0396	0.0006407335
0.04	0.000789962
0.0404	0.000667308
0.0408	0.001093089
0.0412	0.0007541924
0.0416	0.00133576
0.042	0.001005361
0.0424	0.0005658946
0.0428	0.001368984
0.0432	0.001247583
0.0436	0.001470006
0.044	0.001468436
0.0444	0.001600953
0.0448	0.001687179
0.0452	0.001691497
0.0456	0.001740174
0.046	0.00187374
0.0464	0.001918509
0.0468	0.001979016
0.0472	0.002045905
0.0476	0.002122694
0.048	0.002166803
0.0484	0.002241839
0.0488	0.002313513
0.0492	0.002359779
0.0496	0.002406138
0.05	0.002452777
0.0504	0.002519228
0.0508	0.002546821
0.0512	0.002622311
0.0516	0.002628587
0.052	0.002681225
0.0524	0.002722979
0.0528	0.002765553
0.0532	0.002815549
0.0536	0.002849431
0.054	0.002866857
0.0544	0.002891646
0.0548	0.002930084
0.0552	0.00293888
0.0556	0.002958549
0.056	0.002964436
0.0564	0.002981636
0.0568	0.002974641
0.0572	0.002998538
0.0576	0.002989998
0.058	0.002992448
0.0584	0.002967252
0.0588	0.002980613
0.0592	0.002968921
0.0596	0.002936791
0.06	0.002935139
0.0604	0.002909356
0.0608	0.002890792
0.0612	0.002877297
0.0616	0.002854263
0.062	0.002820447
0.0624	0.002789194
0.0628	0.002769123
0.0632	0.002738358
0.0636	0.002706574
0.064	0.002667245
0.0644	0.002624283
0.0648	0.002598889
0.0652	0.002548255
0.0656	0.00251701
0.066	0.002469879
0.0664	0.002431962
0.0668	0.002394482
0.0672	0.002338973
0.0676	0.002293277
0.068	0.00224829
0.0684	0.002204503
0.0688	0.002155091
0.0692	0.002108376
0.0696	0.002056648
0.07	0.002007749
0.0704	0.001966414
0.0708	0.001911152
0.0712	0.001853726
0.0716	0.001807008
0.072	0.001753183
0.0724	0.001694354
0.0728	0.001654666
0.0732	0.001590326
0.0736	0.001539123
0.074	0.001483381
0.0744	0.001426116
0.0748	0.001376374
0.0752	0.001310666
0.0756	0.001256909
0.076	0.001200243
0.0764	0.001137629
0.0768	0.001085349
0.0772	0.001035747
0.0776	0.0009707757
0.078	0.0009121289
0.0784	0.0008481058
0.0788	0.0007913791
0.0792	0.0007339838
0.0796	0.0006753507
0.08	0.0006218203
0.0804	0.0005677931
0.0808	0.0004966195
0.0812	0.0004352275
0.0816	0.0003834732
0.082	0.0003250609
0.0824	0.0002707349
0.0828	0.0002136235
0.0832	0.0001579007
0.0836	9.72167e-5
0.084	3.805367e-5
0.0844	-5.633713e-6
0.0848	-6.950272e-5
0.0852	-0.0001253172
0.0856	-0.000172776
0.086	-0.0002615821
0.0864	-0.0002976851
0.0868	-0.0003534507
0.0872	-0.0003998912
0.0876	-0.0004648824
0.088	-0.0004870032
0.0884	-0.0005640119
0.0888	-0.0006226386
0.0892	-0.0006667317
0.0896	-0.0006845574
0.09	-0.000752516
0.0904	-0.000798884
0.0908	-0.0008309917
0.0912	-0.0008692247
0.0916	-0.0008952125
0.092	-0.0009448295
0.0924	-0.0009742278
0.0928	-0.001008988
0.0932	-0.001024375
0.0936	-0.0010577
0.094	-0.001073693
0.0944	-0.001098064
0.0948	-0.001109945
0.0952	-0.001117012
0.0956	-0.00112472
0.096	-0.001129595
0.0964	-0.0011625
0.0968	-0.001127884
0.0972	-0.001147788
0.0976	-0.001152288
0.098	-0.001142711
0.0984	-0.001148841
0.0988	-0.00113847
0.0992	-0.001134935
0.0996	-0.001124738
0.1	-0.00110985
0.1004	-0.001100659
0.1008	-0.001095229
0.1012	-0.001100625
0.1016	-0.001069581
0.102	-0.00107183
0.1024	-0.001057885
0.1028	-0.00104311
0.1032	-0.001042208
0.1036	-0.001045063
0.104	-0.001026219
0.1044	-0.00101225
0.1048	-0.001006964
0.1052	-0.0009941494
0.1056	-0.001005533
0.106	-0.0009887273
0.1064	-0.0009831946
0.1068	-0.0009860701
0.1072	-0.000967728
0.1076	-0.0009817772
0.108	-0.0009831259
0.1084	-0.0009812906
0.1088	-0.0009727338
0.1092	-0.0009910557
0.1096	-0.00100333
0.11	-0.001011267
0.1104	-0.0009662519
0.1108	-0.0009996932
0.1112	-0.001025652
0.1116	-0.0009869143
0.112	-0.001057424
0.1124	-0.001030607
0.1128	-0.00104191
0.1132	-0.001085269
0.1136	-0.001040373
0.114	-0.001041675
0.1144	-0.001063218
0.1148	-0.001107432
0.1152	-0.001208863
0.1156	-0.001168912
0.116	-0.001148513
0.1164	-0.001195751
0.1168	-0.001197771
0.1172	-0.00123919
0.1176	-0.001271836
0.118	-0.001305229
0.1184	-0.001298782
