Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	0.0005693558
0.00064	0.0004212081
0.00128	0.0008461003
0.00192	0.0007429305
0.00256	0.0009808122
0.0032	0.0007300432
0.00384	0.000396472
0.00448	0.0009520382
0.00512	0.0007530248
0.00576	0.0007459181
0.0064	0.0008798474
0.00704	0.0009383693
0.00768	0.0009212174
0.00832	0.0006083874
0.00896	0.0008794278
0.0096	0.001071541
0.01024	0.0008638692
0.01088	0.0008915727
0.01152	0.0009948943
0.01216	0.001021302
0.0128	0.001101278
0.01344	0.0009806838
0.01408	0.0009062584
0.01472	0.0008541934
0.01536	0.0008757337
0.016	0.001141996
0.01664	0.00115227
0.01728	0.001036738
0.01792	0.0009169875
0.01856	0.000931017
0.0192	0.001039521
0.01984	0.001068951
0.02048	0.001066263
0.02112	0.001106032
0.02176	0.00108483
0.0224	0.001167115
0.02304	0.0008899394
0.02368	2.816893e-5
0.02432	0.001079708
0.02496	0.0008758385
0.0256	0.001003085
0.02624	0.0008335466
0.02688	0.0008502615
0.02752	0.0009291628
0.02816	0.0009552453
0.0288	0.0008686429
0.02944	0.001099514
0.03008	0.0008229926
0.03072	0.0007288154
0.03136	0.0006976351
0.032	0.0009294146
0.03264	0.0007861546
0.03328	0.0007306266
0.03392	0.0008077166
0.03456	0.000507403
0.0352	0.0005042969
0.03584	0.0003008271
0.03648	0.0005345164
0.03712	0.0001637134
0.03776	0.0004555959
0.0384	0.0003212614
0.03904	0.000245435
0.03968	0.0002566235
0.04032	0.0002703999
0.04096	0.0001906987
0.0416	9.847926e-5
0.04224	0.0001214876
0.04288	0.0001920342
0.04352	0.0001128899
0.04416	4.015325e-5
0.0448	1.249108e-5
0.04544	0.0001052893
0.04608	0.0001078161
0.04672	1.051171e-5
0.04736	1.091136e-5
0.048	-0.0001849603
0.04864	9.408366e-5
0.04928	-1.453184e-5
0.04992	-7.668836e-5
0.05056	3.186066e-6
0.0512	-4.404843e-5
0.05184	-8.841312e-5
0.05248	-0.0001525124
0.05312	-0.0003131322
0.05376	-0.0001327187
0.0544	-7.384488e-5
0.05504	-3.625669e-5
0.05568	-0.0001211958
0.05632	-0.000205856
0.05696	5.59991e-5
0.0576	0.0001140337
0.05824	3.218371e-5
0.05888	4.615807e-5
0.05952	6.872477e-5
0.06016	4.919507e-5
0.0608	0.0001138125
0.06144	0.0002771287
0.06208	-9.502438e-5
0.06272	8.285652e-5
0.06336	0.0001634277
0.064	0.0001045816
0.06464	0.000258324
0.06528	0.0002165496
0.06592	0.0001894984
0.06656	0.0002658748
0.0672	0.0002721114
0.06784	0.0003012685
0.06848	0.0002608472
0.06912	0.0003069989
0.06976	-0.0001497609
0.0704	0.0001965582
0.07104	0.0003248916
0.07168	0.0002096139
0.07232	0.0004188306
0.07296	0.0004700992
0.0736	0.0003520004
0.07424	0.0003594769
0.07488	0.0004360058
0.07552	0.0004194224
0.07616	0.0004519821
0.0768	0.0004495564
0.07744	0.0002890984
0.07808	0.0003954898
0.07872	0.0004176263
0.07936	0.0004181304
0.08	0.0004478868
0.08064	0.0004562493
0.08128	0.0004562786
0.08192	0.0004457734
0.08256	0.000575865
0.0832	0.0005778828
0.08384	0.0003364721
0.08448	0.0003514315
0.08512	0.0003384128
0.08576	0.0003455041
0.0864	0.0004378425
0.08704	0.0001836077
0.08768	0.0001566634
0.08832	0.0003580125
0.08896	0.0002587891
0.0896	0.0004064904
0.09024	0.0003657183
0.09088	0.0003271329
0.09152	0.0001975571
0.09216	0.0001336353
0.0928	0.0002355043
0.09344	0.0002299808
0.09408	0.0001172926
0.09472	-0.0001247215
0.09536	8.399827e-5
0.096	0.0001061956
0.09664	-3.171636e-5
0.09728	7.612749e-5
0.09792	1.704558e-5
0.09856	-9.073145e-5
0.0992	-6.841149e-5
0.09984	-0.0002281975
0.10048	-0.0002519214
0.10112	-0.0001441442
0.10176	-0.0002615796
0.1024	-0.0002143806
0.10304	-0.0002246262
0.10368	-0.0002961259
0.10432	-0.0002350991
0.10496	-0.0002793963
0.1056	-2.043338e-5
0.10624	-0.0002253305
0.10688	-0.0002504782
0.10752	-0.0002504095
0.10816	-0.0002477322
0.1088	-0.0002236837
0.10944	-0.0002600887
0.11008	-0.0002664912
0.11072	-0.000280741
0.11136	-0.000384472
0.112	-0.0004142639
0.11264	-0.0003966477
0.11328	-0.0003296533
0.11392	-0.0003292382
0.11456	-0.0003182207
0.1152	-0.0003111209
0.11584	-0.0002789953
0.11648	-0.000283274
0.11712	-0.0003209904
0.11776	-5.394601e-5
0.1184	-0.0001086307
0.11904	-0.0004090327
0.11968	-0.0001345901
0.12032	-0.0002055707
0.12096	-0.0001885858
0.1216	-0.0001490571
0.12224	-0.0001531281
0.12288	-8.032557e-5
0.12352	-7.26162e-5
0.12416	-0.000117522
0.1248	2.660874e-5
0.12544	-8.107057e-5
0.12608	-1.905009e-5
0.12672	-0.0002658628
0.12736	-0.0002217237
0.128	-1.79785e-5
0.12864	-0.0001784701
0.12928	8.934385e-5
0.12992	-7.687521e-5
0.13056	0.0002791249
0.1312	-0.0003075214
0.13184	-9.613435e-5
0.13248	-0.000119713
0.13312	-0.000161647
0.13376	-0.0001091112
0.1344	-0.0002120762
0.13504	-1.355276e-5
0.13568	-0.0006369623
0.13632	-0.0008808812
0.13696	6.913915e-5
0.1376	-0.0003184737
0.13824	-0.0001241577
0.13888	-0.0002654227
0.13952	-7.839299e-5
0.14016	-0.0001795361
0.1408	-0.0001832752
0.14144	-0.0001575566
0.14208	-0.0002850716
0.14272	-0.0002594096
0.14336	-0.0003628648
0.144	-0.0003067737
0.14464	-0.0004117661
0.14528	-0.0004104571
0.14592	-0.0003792731
0.14656	-0.0004753561
0.1472	-0.0004166524
0.14784	-0.0003668692
0.14848	-0.0003934373
0.14912	-0.0004408403
0.14976	-0.0004140889
0.1504	-0.0004148847
0.15104	-0.0004989041
0.15168	-0.0004884682
0.15232	-0.0001409526
0.15296	-0.0003591774
0.1536	-0.0003542837
0.15424	-0.0003188241
0.15488	-0.0004967743
0.15552	-0.0002648082
0.15616	-0.0007570251
0.1568	-6.872843e-5
0.15744	-0.0001435679
0.15808	-0.0004980403
0.15872	-0.0003736209
0.15936	-0.0005367127
0.16	0.0002386179
0.16064	4.546918e-5
0.16128	-0.000442762
0.16192	-0.0003466811
0.16256	-0.0003517097
0.1632	-0.0003702746
0.16384	-0.0003719199
0.16448	-0.000343537
0.16512	-0.0003363778
0.16576	-0.0003026803
0.1664	-0.0002800054
0.16704	-0.0002865339
0.16768	-0.0003428076
0.16832	-0.0003255024
0.16896	-0.0003292087
0.1696	-0.0003087508
0.17024	-0.0003250579
0.17088	-0.0003286517
0.17152	-0.0003591505
0.17216	-0.0003463502
0.1728	-0.0003667883
0.17344	-0.0003368972
0.17408	-0.0004038491
0.17472	-0.000293033
0.17536	-0.0004641698
0.176	-0.0003532023
0.17664	-0.0005424562
0.17728	-3.113288e-5
0.17792	-0.0005984823
0.17856	-0.00018274
0.1792	-0.000299924
0.17984	-3.98667e-5
0.18048	0.0001785956
