Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0	-0.0007691705
0.0004	-0.0004627446
0.0008	-0.0006819358
0.0012	-0.0005095034
0.0016	-0.000553485
0.002	-0.0005259406
0.0024	-0.0005964063
0.0028	-0.0001490308
0.0032	0.0002266093
0.0036	-0.0006459226
0.004	-0.0005386272
0.0044	-0.0005723145
0.0048	-0.0005295125
0.0052	-0.000575708
0.0056	-0.0005624778
0.006	-0.0005648207
0.0064	-0.0006070157
0.0068	-0.0005612461
0.0072	-0.0005813833
0.0076	-0.0006231305
0.008	-0.0006239617
0.0084	-0.0005419509
0.0088	-0.0005388626
0.0092	-0.0006332462
0.0096	-0.0005502728
0.01	-0.0006455854
0.0104	-0.0007718787
0.0108	-0.0005872842
0.0112	-0.0005966289
0.0116	-0.0005416541
0.012	-0.000689476
0.0124	-0.0004799505
0.0128	-0.0008055716
0.0132	0.0005387488
0.0136	-0.0005208981
0.014	-0.000672277
0.0144	-0.0004095229
0.0148	-0.0006309644
0.0152	-0.0003547551
0.0156	-0.0006521815
0.016	-0.0008936902
0.0164	-0.0002288054
0.0168	-0.0004871317
0.0172	-0.0004942373
0.0176	-0.0005086254
0.018	-0.0004009644
0.0184	-0.0005877462
0.0188	-0.0003418736
0.0192	-0.0005919468
0.0196	-0.001818082
0.02	-0.0007370605
0.0204	0.0004473561
0.0208	0.0002392215
0.0212	-0.0001890209
0.0216	-0.0003706205
0.022	-0.0003831528
0.0224	-0.0002649415
0.0228	-0.0003715353
0.0232	-0.0002644921
0.0236	-0.0003296263
0.024	-0.0001254104
0.0244	-0.000403531
0.0248	-0.0002246967
0.0252	0.0007123623
0.0256	-0.0004344331
0.026	-0.0001410246
0.0264	-0.0006037607
0.0268	-0.00013765
0.0272	-0.000210403
0.0276	-0.0001649939
0.028	-0.0001603473
0.0284	-0.0001681111
0.0288	-6.801315e-5
0.0292	-0.0002798602
0.0296	0.0002926652
0.03	0.001264637
0.0304	-0.001034048
0.0308	0.0003234889
0.0312	-0.0002582123
0.0316	0.0003507922
0.032	-0.0007671184
0.0324	0.0004517638
0.0328	0.0004569514
0.0332	4.056072e-5
0.0336	0.0003123879
0.034	5.212958e-7
0.0344	8.197722e-5
0.0348	0.0003869581
0.0352	0.0004932595
0.0356	0.0002037708
0.036	0.0002232051
0.0364	0.000250502
0.0368	0.0001823826
0.0372	0.0002364079
0.0376	0.0002572827
0.038	0.0002521804
0.0384	0.0002702051
0.0388	0.0002978566
0.0392	0.0002610224
0.0396	0.0003783086
0.04	0.0002837591
0.0404	0.0001649638
0.0408	0.0004071797
0.0412	0.0003570794
0.0416	0.0004501994
0.042	0.0004171822
0.0424	0.0004329172
0.0428	0.0004277659
0.0432	0.0005025673
0.0436	0.0004273817
0.044	0.0004354809
0.0444	0.0004326993
0.0448	0.0005709488
0.0452	0.000289662
0.0456	-0.0002423318
0.046	0.0005848318
0.0464	0.0004599596
0.0468	0.0006004089
0.0472	0.0003996548
0.0476	0.0005876252
0.048	0.0003447391
0.0484	0.0007864053
0.0488	0.0009107193
0.0492	-0.0008120324
0.0496	0.000921182
0.05	-0.000485987
0.0504	0.001084692
0.0508	0.0003504799
0.0512	0.000534993
0.0516	0.0003635658
0.052	0.000482981
0.0524	0.0004294869
0.0528	0.0004330063
0.0532	0.0004259941
0.0536	0.0003942209
0.054	0.0004064064
0.0544	0.0003442076
0.0548	0.0004318999
0.0552	0.0003814358
0.0556	0.0004234892
0.056	0.0003441833
0.0564	0.0004377061
0.0568	0.0003681235
0.0572	0.0003603143
0.0576	0.0003455024
0.058	0.0004151688
0.0584	0.0003367834
0.0588	0.0003325152
0.0592	0.0004146493
0.0596	0.0003105419
0.06	0.0003994946
0.0604	0.0003107266
0.0608	0.0003615939
0.0612	0.0003270442
0.0616	0.0003699606
0.062	0.0003055281
0.0624	0.0003009504
0.0628	0.0004348746
0.0632	0.0002950211
0.0636	0.0004310611
0.064	0.0002812446
0.0644	0.0004301609
0.0648	0.0002570723
0.0652	0.0004855901
0.0656	0.0002297146
0.066	0.0005723736
0.0664	-0.0007837212
0.0668	0.001317536
0.0672	0.001235904
0.0676	0.0002279319
0.068	0.0009148251
0.0684	-0.0007985611
0.0688	0.0004057351
0.0692	-6.170776e-5
0.0696	0.0001599284
0.07	5.577693e-5
0.0704	9.579569e-5
0.0708	0.0001053616
0.0712	5.716494e-5
0.0716	4.187424e-5
0.072	-6.364062e-8
0.0724	-5.338381e-5
0.0728	-0.0001873816
0.0732	-0.0002209827
0.0736	-0.0001357433
0.074	-0.0002438646
0.0744	-0.0001512671
0.0748	-0.0001656015
0.0752	-2.515415e-5
0.0756	-0.0001242337
0.076	-4.686776e-5
0.0764	-0.0001780469
0.0768	-0.0002662287
0.0772	-0.0003022747
0.0776	-0.0003225565
0.078	-0.0003987545
0.0784	-0.000347874
0.0788	-0.0003160017
0.0792	-0.0001772927
0.0796	-0.000325249
0.08	-3.36856e-5
0.0804	-0.0005897054
0.0808	-0.0009679252
0.0812	0.0001637433
0.0816	-0.0001541511
0.082	-0.0001024182
0.0824	-0.0003307283
0.0828	-4.778758e-5
0.0832	-0.0006586317
0.0836	0.001831414
0.084	0.0009430599
0.0844	-0.001026004
0.0848	0.0001058459
0.0852	-9.759359e-5
0.0856	-3.283959e-5
0.086	-6.812768e-5
0.0864	-4.695961e-6
0.0868	-0.0001305333
0.0872	-2.44548e-5
0.0876	7.416493e-5
0.088	0.0001161036
0.0884	-0.000192433
0.0888	6.862328e-5
0.0892	0.0001628325
0.0896	0.0001892638
0.09	0.0002170342
0.0904	0.0002628575
0.0908	9.892207e-6
0.0912	-0.001700229
0.0916	0.000580452
0.092	-0.0007011939
0.0924	0.0001878399
0.0928	0.0005874704
0.0932	0.0002980791
0.0936	0.0005305752
0.094	0.0003289009
0.0944	0.0007571497
0.0948	0.0003429199
0.0952	0.001018789
0.0956	-0.0003145534
0.096	-0.0004160193
0.0964	0.001021841
0.0968	0.0005028607
0.0972	0.001042298
0.0976	0.0007874011
0.098	0.0009558359
0.0984	0.0009161835
0.0988	0.001321821
0.0992	0.0008681409
0.0996	0.001343321
0.1	0.0005243488
0.1004	0.0005791875
0.1008	0.0008289553
0.1012	7.565961e-5
0.1016	0.00174682
0.102	0.001178933
0.1024	0.001739623
0.1028	-7.500242e-5
0.1032	0.0008669113
0.1036	0.001738106
0.104	0.0008017194
0.1044	0.001142647
0.1048	0.001762065
0.1052	0.001711401
0.1056	0.001277392
0.106	0.001188329
0.1064	0.001824963
0.1068	0.001537442
0.1072	0.001575542
0.1076	0.0006024737
0.108	0.001666897
0.1084	0.001865202
0.1088	0.001711779
0.1092	0.001977589
0.1096	0.001588213
0.11	0.001733172
0.1104	0.001827612
0.1108	0.0008403318
0.1112	0.001152435
0.1116	0.001044988
0.112	0.001560878
0.1124	0.0009910704
0.1128	0.001591632
0.1132	0.001943372
0.1136	0.001847506
0.114	0.00166696
0.1144	0.001955497
0.1148	0.001311371
0.1152	0.001459907
0.1156	0.00186645
0.116	0.002149466
0.1164	0.002243443
0.1168	0.001898396
